epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,1.31425,0.308036,0.308212,1.126109,0.424107,0.285816
1,1.138414,0.435268,0.408397,1.000116,0.508929,0.459572
2,1.103479,0.446429,0.436597,0.961145,0.558036,0.52483
