epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.316579,0.322545,0.311102,1.1553,0.464286,0.345747
2,1.125142,0.436384,0.430832,1.072242,0.428571,0.286813
3,1.088095,0.435268,0.435206,1.067537,0.410714,0.296497
4,1.057988,0.446429,0.444381,1.234845,0.352679,0.246366
5,1.054026,0.469866,0.465471,0.930705,0.558036,0.498894
6,0.975053,0.545759,0.541304,0.854642,0.611607,0.609204
7,0.941154,0.565848,0.566506,0.810896,0.633929,0.621649
8,0.901989,0.585938,0.589421,0.702074,0.723214,0.721867
9,0.786689,0.679688,0.681938,0.646187,0.6875,0.687229
10,0.808,0.662946,0.665743,0.722247,0.75,0.744192
11,0.70639,0.703125,0.705871,0.614705,0.700893,0.692281
12,0.699984,0.706473,0.70867,0.56932,0.78125,0.779837
13,0.750407,0.719866,0.723115,0.60155,0.745536,0.741354
14,0.709167,0.720982,0.723478,0.761549,0.674107,0.679344
15,0.620866,0.772321,0.773034,0.50036,0.821429,0.816923
16,0.623896,0.766741,0.768222,0.550403,0.785714,0.788854
17,0.559323,0.785714,0.787104,0.50527,0.8125,0.814862
18,0.568118,0.789062,0.790543,0.427883,0.848214,0.847573
19,0.489957,0.813616,0.814456,0.41206,0.834821,0.833942
20,0.493082,0.825893,0.826863,0.633975,0.732143,0.735343
21,0.586983,0.791295,0.79234,0.437738,0.808036,0.806343
22,0.464492,0.829241,0.83011,0.378241,0.848214,0.847724
23,0.453545,0.839286,0.83969,0.399921,0.848214,0.849049
24,0.437763,0.832589,0.833252,0.402927,0.839286,0.839308
25,0.419915,0.840402,0.840999,0.375392,0.866071,0.868548
26,0.48254,0.821429,0.822393,0.371341,0.848214,0.844264
27,0.431782,0.825893,0.827019,0.37258,0.866071,0.867868
28,0.43085,0.848214,0.848529,0.360123,0.834821,0.832078
29,0.461518,0.852679,0.853044,0.536517,0.794643,0.793094
30,0.455525,0.837054,0.837925,0.48053,0.816964,0.804112
31,0.386935,0.854911,0.856151,0.414353,0.857143,0.852622
32,0.447112,0.827009,0.82829,0.353544,0.879464,0.878526
33,0.380887,0.861607,0.861865,0.431304,0.834821,0.829205
34,0.368243,0.863839,0.865,0.344458,0.875,0.873738
35,0.349527,0.867188,0.867611,0.397371,0.834821,0.833633
36,0.408883,0.84933,0.849655,0.443683,0.84375,0.843002
37,0.400014,0.850446,0.850878,0.361681,0.857143,0.854709
38,0.33295,0.875,0.875281,0.318223,0.879464,0.879573
39,0.311485,0.891741,0.892218,0.363436,0.883929,0.882251
40,0.39545,0.859375,0.859652,0.355568,0.852679,0.852861
41,0.312197,0.886161,0.88662,0.395068,0.861607,0.85994
42,0.293108,0.891741,0.892154,0.319047,0.866071,0.86465
43,0.276439,0.917411,0.917659,0.311309,0.879464,0.875853
44,0.349648,0.870536,0.870798,0.279168,0.892857,0.892509
45,0.282642,0.895089,0.895328,0.301157,0.879464,0.877473
46,0.269859,0.895089,0.895169,0.409266,0.834821,0.833964
47,0.280964,0.893973,0.894121,0.378086,0.857143,0.855937
48,0.287813,0.889509,0.889855,0.448691,0.821429,0.816627
49,0.301215,0.890625,0.890594,0.320196,0.897321,0.897244
50,0.265502,0.90625,0.906445,0.422369,0.830357,0.819531
